setup,accuracy,precision,recall,f1
original_selected_features,0.655151515151515,0.7192810698073856,0.6893393393393393,0.6881400684082192
pca_components_90_variance,0.6522144522144522,0.7010538269361799,0.6893393393393393,0.6867094298599034
original_plus_network_features,0.6981818181818182,0.7386256473774004,0.7220720720720721,0.7263351734831114
