user_id,artist_id,artist_name,long_rank,medium_rank,short_rank,appears_long_term,appears_medium_term,appears_short_term,churned_artist,rank_change_long_to_medium,historical_best_rank,historical_avg_rank,historical_presence_count,is_long_only,is_medium_only,is_present_in_both_historical_windows,long_rank_score,medium_rank_score,historical_affinity_score
15e7dff19830,48nHO1cuTbpx4ELhChsxX1,Sidewalks and Skeletons,38,999,999,1,0,0,1,999,38,38.0,1,1,0,0,0.26,0.0,0.26
15e7dff19830,5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,39,999,999,1,0,0,1,999,39,39.0,1,1,0,0,0.24,0.0,0.24
15e7dff19830,1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,40,8,999,1,1,0,1,-32,8,24.0,2,0,0,1,0.22,0.86,0.54
15e7dff19830,56ZTgzPBDge0OvCGgMO3OY,Beach House,41,26,999,1,1,0,1,-15,26,33.5,2,0,0,1,0.2,0.5,0.35
15e7dff19830,2YOYua8FpudSEiB9s88IgQ,Yung Gravy,42,16,19,1,1,1,0,-26,16,29.0,2,0,0,1,0.18,0.7,0.43999999999999995
15e7dff19830,4boI7bJtmB1L3b1cuL75Zr,Mon Laferte,43,999,999,1,0,0,1,999,43,43.0,1,1,0,0,0.16,0.0,0.16
15e7dff19830,3yY2gUcIsjMr8hjo51PoJ8,The Smiths,44,999,999,1,0,0,1,999,44,44.0,1,1,0,0,0.14,0.0,0.14
15e7dff19830,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,45,10,999,1,1,0,1,-35,10,27.5,2,0,0,1,0.12,0.82,0.47
15e7dff19830,0EmeFodog0BfCgMzAIvKQp,Shakira,46,44,999,1,1,0,1,-2,44,45.0,2,0,0,1,0.1,0.14,0.12000000000000001
15e7dff19830,2F9pvj94b52wGKs0OqiNi2,Babasonicos,47,20,12,1,1,1,0,-27,20,33.5,2,0,0,1,0.08,0.62,0.35
15e7dff19830,3l0CmX0FuQjFxr8SK7Vqag,Clairo,48,999,999,1,0,0,1,999,48,48.0,1,1,0,0,0.06,0.0,0.06
